Column1,Column2,Column3,Column4,Column5
정보통신,잔디,성공의 비밀은 잔디빨,7.01 (2022.07.27,https://play.tvcf.co.kr/880762
정보통신,잔디,성공의 비밀은 잔디빨,7.01 (2022.07.27,https://play.tvcf.co.kr/880760
정보통신,굿리치,보험은 굿리치 하나로_보험조회,8.02 (2022.07.26,https://play.tvcf.co.kr/880602
정보통신,노아의심장,기묘한 모험의 시작_어드밴처 플래닛,7.25 (2022.07.26,https://play.tvcf.co.kr/880590
정보통신,굿리치,보험은 굿리치 하나로_보험분석,7.25 (2022.07.26,https://play.tvcf.co.kr/880591
정보통신,땡겨요,땡기시조 30s,7.25 (2022.07.26,https://play.tvcf.co.kr/880588
정보통신,DIGICO KT AI 서비스로봇,"VLOG, 패밀리레스토랑 로(봇)맨스 | 알바 꿀팁 대방출 브이로그",7.25 (2022.07.26,https://play.tvcf.co.kr/880569
정보통신,땡겨요,땡기시조,7.25 (2022.07.26,https://play.tvcf.co.kr/880572
정보통신,삼성 갤럭시 Z 플립3,이게 내가 플립을 들고 다니는 방법,7.25 (2022.07.25,https://play.tvcf.co.kr/880563
정보통신,삼성 갤럭시 Z 플립3,이게 내가 플립을 들고 다니는 방법,7.25 (2022.07.25,https://play.tvcf.co.kr/880562
정보통신,핀다,대출주도권을 당신에게로,7.22 (2022.07.24,https://play.tvcf.co.kr/880546
정보통신,핀다,대출주도권을 당신에게로,7.22 (2022.07.24,https://play.tvcf.co.kr/880543
정보통신,닥터다이어리,내가 알아서 해,7.18 (2022.07.19,https://play.tvcf.co.kr/880023
정보통신,DIGICO KT,KT AI통화비서,7.02 (2022.07.19,https://play.tvcf.co.kr/880010
정보통신,DIGICO KT,KT 잘나가게,7.04 (2022.07.19,https://play.tvcf.co.kr/880008
정보통신,노아의심장,기묘한 모험의 시작_사전예약,7.18 (2022.07.19,https://play.tvcf.co.kr/880012
정보통신,아이폰,진동,7.18 (2022.07.19,https://play.tvcf.co.kr/879998
정보통신,삼성 갤럭시 X COVER 5,발표영상 Highligh,021.05.04 (2022.07.19,https://play.tvcf.co.kr/879862
정보통신,아이폰,물벼락에도 꿋꿋,7.18 (2022.07.19,https://play.tvcf.co.kr/879997
정보통신,골프존,더 편해진 골프 플랫폼,7.18 (2022.07.18,https://play.tvcf.co.kr/879840
정보통신,LG유플러스 유독,[WHY NOT] 쉽고 편하게 관리하는 선 넘은 구독의 시작_자유할인,7.15 (2022.07.17,https://play.tvcf.co.kr/879809
정보통신,알바몬,무한 광고 유니버스에 또 갇힌 성동일,7.13 (2022.07.15,https://play.tvcf.co.kr/879738
정보통신,LG유플러스 유독,[WHY NOT] 쉽고 편하게 관리하는 선 넘은 구독의 시작,7.14 (2022.07.15,https://play.tvcf.co.kr/879709
