산업,산업2,광고제목,광고부제목,날짜,시간,링크
정보통신,이동통신,웍트로닉스,스스로 일하는 업무로봇,['2022.08.09'],36,https://play.tvcf.co.kr/882581
정보통신,이동통신,KT Y박스,이십대들아~ 이런 보물상자 또 없다,['2022.07.28'],59,https://play.tvcf.co.kr/880829
정보통신,이동통신,LG유플러스 유독,[WHY NOT] 쉽고 편하게 관리하는 선 넘은 구독의 시작_자유할인,['2022.07.17'],15,https://play.tvcf.co.kr/879809
정보통신,이동통신,LG유플러스 유독,[WHY NOT] 쉽고 편하게 관리하는 선 넘은 구독의 시작,['2022.07.15'],15,https://play.tvcf.co.kr/879709
정보통신,이동통신,LG유플러스 유독,[WHY NOT] 유독 편리 티져,['2022.07.14'],6,https://play.tvcf.co.kr/879433
정보통신,이동통신,LG유플러스 유독,[WHY NOT] 유독 할인 티져,['2022.07.14'],6,https://play.tvcf.co.kr/879432
정보통신,이동통신,KT,WeChat KT,['2022.07.05'],91,https://play.tvcf.co.kr/878348
정보통신,이동통신,KT olleh TV 키즈랜드,"우리아이 영어시작, '오은영의 금쪽 솔루션'",['2022.06.21'],35,https://play.tvcf.co.kr/875876
정보통신,이동통신,KT olleh TV 키즈랜드,"우리아이 마음읽기, '오은영의 금쪽 솔루션'",['2022.06.21'],35,https://play.tvcf.co.kr/875874
정보통신,이동통신,SK텔레콤 T ALL 케어,돌아오라 일상으로,['2022.06.17'],90,https://play.tvcf.co.kr/875390
정보통신,이동통신,KT 유튜브 프리미엄 초이스,당신은 초이스 하셨나요?,['2022.06.10'],30,https://play.tvcf.co.kr/874701
정보통신,이동통신,LG유플러스,유플만의 독점혜택 받고 레고랜드 가자! (15초),['2022.06.09'],15,https://play.tvcf.co.kr/874510
정보통신,이동통신,LG유플러스,유플만의 독점혜택 받고 레고랜드 가자! (FULL),['2022.06.07'],28,https://play.tvcf.co.kr/874127
정보통신,이동통신,LG유플러스,유플만의 독점혜택 받고 레고랜드 가자! (6초),['2022.06.07'],6,https://play.tvcf.co.kr/874126
정보통신,이동통신,SK텔레콤,첫 로밍 50% 할인,['2022.06.03'],29,https://play.tvcf.co.kr/873854
