,대여소,Station,Distance
118,4245 그랑자이 아파트,합정,0.00571391714049694
119,가좌삼거리,가좌,0.0033046882243579112
120,월드컵공원,마포구청,0.005154068236415251
121,유진투자증권빌딩 앞,여의도,0.0047116078598345105
122,홍남교 버스정류장,가좌,0.015227060439884822
123,마포역 2번출구 뒤,마포,0.0003779200641746317
124,홍은사거리,홍제,0.0031895012450949382
125,상암월드컵파크 10단지 앞,수색,0.014982980682860796
126,신촌기차역입구 교차로,이대,0.0028302108956785514
127,롯데하이마트 (상암월드컵점),디지털미디어시티,0.004216087250703934
128,응암역2번출구 국민은행 앞,응암,0.0013710476474591898
129,양평1 보행육교 앞,선유도,0.0025324118125032683
130,문화비축기지,월드컵경기장,0.004927713312461626
131,신길역 2번출구,신길,0.00047788044205848224
132,MBC 앞,수색,0.005427836882126716
133,백련산 힐스테이트상가앞,새절,0.009415618277226553
134,은평구청 교차로,역촌,0.006368080709995092
135,마포소방서 앞,광흥창,0.0025949166271014863
136,문래동자이아파트 앞,문래,0.0017836472906900508
137,신논현역 4번출구,신논현,0.0007388166213527738
138,서울특별시 은평병원,응암,0.00917556002626108
139,남가좌동 제2공영주차장,새절,0.012000328070510217
140,응암역3번 출구(서부경찰서 방면),응암,0.0019081371722544994
141,마포 신수공원 앞,광흥창,0.005423763025091925
142,망원정 앞,망원,0.007993321197730198
143,래미안금호하이리버 아파트 102동 옆,신금호,0.005275114462507037
144,하늘공원 입구,수색,0.01784278728628273
145,부엉이공원 앞,수색,0.011874236604516416
146,가좌역 4번출구 앞,가좌,0.0009367789099441416
147,서대문역 2번 출구,서대문,0.0007568773658219442
148,연서어린이공원,가좌,0.008449283876767594
149,서강대 남문 옆,대흥,0.0035589158352523566
150,연신내역 5번출구,연신내,0.00229117186875754
151,서울혁신파크2,불광,0.002973501036171379
152,예일여중,구산,0.001626623132429472
153,호암아트홀,서대문,0.005480526176391517
154,누리꿈스퀘어 옆,수색,0.006610200616654224
155,마스타 빌딩 앞,홍대입구,0.0024583733540012387
156,당산동 SK V1 빌딩,당산,0.005298743133984438
157,상암한화오벨리스크 1차 앞,수색,0.014269240493035722
158,국민일보 앞,국회의사당,0.006693890489730015
159,반포1동 서초빌딩 앞,신논현,0.0037805480005587565
160,광화문 풍림스페이스본 1단지앞,경복궁,0.004598219062032951
161,경복궁역 4번출구 뒤,경복궁,0.0005613917937513892
162,가양역 8번출구,가양,0.0005037714418171479
163,홍은2파출소 옆,홍제,0.009398051182271503
164,래미안 루센티아 아파트 108동 앞,가좌,0.0070522691738165826
165,양평역 1번출구,영등포구청,0.00997810504567888
166,구 서부경찰서 건너편,역촌,0.004996067188541733
167,강서구청,가양,0.01171043575075038
168,평생학습관 앞,역촌,0.0023137842648706546
169,그랜드컨벤션센터 앞,당산,0.0023043582628716128
170,관악우체국,신림,0.0032120245186011056
171,문화촌 공원,홍제,0.006406466979457803
172,프런트원(공덕역4번출구 앞),공덕,0.002092658805353181
173,흑석롯데캐슬에듀포레(107동),흑석,0.0050394257451112446
174,4836 양원역 1번 출구,공덕,0.0032384285445908353
175,당산육갑문,당산,0.0016954338735696403
176,연희초등학교 앞,홍대입구,0.014750880152683606
177,공덕역 8번출구,공덕,0.0005139936380807136
178,압구정나들목,압구정로데오,0.003534820383394519
179,신목동역 3번출구,신목동,0.0005026527000853284
180,본 서부병원 교차로 사거리,역촌,0.005557674469998154
181,명지대학교 도서관,새절,0.014461591996470381
182,길마중4교 하부,신사,0.004753078827336017
183,4251 공덕역 경의선숲길 커뮤니티센터,신촌,0.0035624861655778684
184,신촌역 4번출구,신촌,0.00048226473278705715
185,양평교 영등포대여소,선유도,0.0035907007042642815
186,월드컵파크 4단지,수색,0.008974617621328278
187,서울지방경찰청,경복궁,0.001819179104470105
188,서강대 후문 옆,대흥,0.003183478496611944
189,서울숲역 2번출구 앞,서울숲,0.0008016896628966926
190,증권거래소후문교차로,여의도,0.00299752947481311
191,한화오벨리스크 앞,수색,0.014266661389240773
192,용산 파크타워 앞,이촌,0.004303655988156842
193,한남나인원 105동 앞,한강진,0.005235232476799916
194,한신16차아파트 119동 앞,잠원,0.003983283435804597
195,모래내고가차도,가좌,0.002466603841478168
196,한남 준 JFSS 앞,한강진,0.0023062401893293987
197,증미역 2번출구,증미,0.0012346237193631034
198,DMC빌 앞,수색,0.009989246509127499
199,홍은 현대아이파크 아파트 202동 앞,홍제,0.006796364842355134
200,대흥역 1번출구,대흥,0.0013398961495461744
201,삼각지 자이아파트,삼각지,0.0013386098939147178
202,DMC역 9번출구 앞,디지털미디어시티,0.003714491604103772
203,국회소통관,국회의사당,0.005525901973641366
204,상암동주민센터 옆,수색,0.0028590852552760897
205,상암월드컵파크5단지(상암중학교),수색,0.008331844233596572
206,동대문역사문화공원역 1번출구 뒤편,동대문역사문화공원,0.0013052061613450597
207,녹번역e편한세상 캐슬 정문 앞,녹번,0.004314947240954385
208,봉은사역 7번 출구,봉은사,0.0005093616574727161
209,"고속터미널역 8-1번, 8-2번 출구 사이",고속터미널,0.0017106108892374935
210,서강대역 2번출구 앞,서강대,0.0017408715624382502
211,북가좌 삼거리,디지털미디어시티,0.007727952858258081
212,신진과학기술고등학교 버스정류장(응암시장 방면),응암,0.004556309826568583
213,서대문구청,홍제,0.013135628824551377
214,DMC역 2번출구 옆,디지털미디어시티,0.001903360692286886
215,연신내 선일하이츠빌 정류소,연신내,0.0038067235542347745
216,KB국민은행 염창역 지점 앞,염창,0.0021455930951451933
217,DDP 패션몰,동대문,0.004298787098194934
218,국회6문,국회의사당,0.004615158540682602
219,(재)FITI시험연구원,양천향교,0.0027653661073418338
220,공덕역 5번출구,공덕,0.0002368621753268593
221,신촌역(2호선) 6번출구 옆,신촌,0.0006804535061880911
222,SK 영등포주유소,신길,0.004679719481505279
223,연대 대운동장 옆,신촌,0.008399542082615105
224,푸르메병원,수색,0.015844440824788385
225,노들섬 서측 앞,노들,0.006738171954085214
226,DMC첨단산업센터,수색,0.010662099052677574
227,LG CNS앞,수색,0.008960955189757883
228,서강나루 공원,광흥창,0.002366354840855551
229,이대목동병원보도육교,선유도,0.006958362007468915
230,효창공원앞역 5번출구 옆,효창공원앞,0.0023268447116909087
231,광흥창역5번출구,광흥창,0.0003682391228402859
232,구룡근린공원,수색,0.013059377543342516
233,현대벤처빌 앞,신촌,0.0016148311769286965
234,경의선(노고산동),서강대,0.0024652378653140213
235,효자동 삼거리,경복궁,0.007901990001779961
236,삼각지역 4번출구 앞,삼각지,0.0019115222877192227
237,용마사거리,중곡,0.003964245558729199
238,강변삼성래미안,당산,0.007230742691184579
239,연가초등학교 옆,증산,0.008690083992083198
240,용산역 맞은편,용산,0.0017077076719659381
241,목월공원 앞,효창공원앞,0.009502693659878693
242,연세대 정문 건너편,신촌,0.005338575511455823
243,디지털미디어 시티역 4번출구(DMC역),디지털미디어시티,0.0014760558477157088
244,가재울사거리,가좌,0.006567412892825862
245,서울서부지방법원 앞,애오개,0.004797510516807706
246,은평세무서 버스정류장(은평구청 방면),역촌,0.006046842313230872
247,앙카라공원 앞,샛강,0.0008359381689919364
248,응암시장교차로,응암,0.004848494507326289
249,증산3교 앞,증산,0.005182923657786749
250,수색역,수색,0.0014853006774813633
251,강남중학교 앞,보라매,0.0030923568104064456
252,영등포역지하쇼핑센타 5번출구,영등포,0.00108419353549351
253,서울역9번출구,서울,0.0015703425542149298
254,부산은행,시청,0.002772359085685748
255,용강동 주민센터 앞,마포,0.0040183902986885905
256,녹번초등학교(서오릉로),역촌,0.0030134282471087144
257,북아현 치안센터 인근,아현,0.004128375189209217
258,이촌1동 주민센터 뒤,이촌,0.0013244259284689633
259,선유도역 3번출구 앞,선유도,0.001077256704974951
260,종로2가 버스정류장 (종각방향),종각,0.003464122060256596
261,북한산힐스테이트 7차아파트,연신내,0.004795118488872174
262,청계천 생태교실 앞,신답,0.0021098026847136504
263,DMC엘가아파트 앞,가좌,0.0029305093338124985
264,마포프레스티지자이 1,이대,0.005248360574970653
265,북한산더샾 106동 앞,홍제,0.00457524099502907
266,동대문디자인플라자,동대문,0.003119400777392349
267,애오개역 4번출구 앞,애오개,0.000746382991501232
268,화곡역 6번출구,화곡,0.0002563826485927381
269,효창동주민센터 앞,효창공원앞,0.0031192383689829795
270,연희교차로 인근,홍대입구,0.008942973695172341
271,JTBC 앞,수색,0.006479206210319496
272,증산교 앞,디지털미디어시티,0.002095492409537641
273,쌍용플레티넘오피스텔,신도림,0.004017491308956733
274,본 서부병원 버스정류장(은평 세무서 방면),역촌,0.005660555447739281
275,삼각지12번 출구,삼각지,0.0025166032937914405
276,센트럴파크타워 앞,신용산,0.0027387621049574495
277,안국동사거리(신),안국,0.002159217968506959
278,대신파이낸스센터,명동,0.004353291094519946
279,가양레포츠센터 앞,증미,0.003204828374140614
280,압구정역 2번 출구 옆,압구정,0.00026093342060621
281,4247 서울서부지방법원등기국앞,상수,0.0017970394465551987
282,난곡사거리,신대방,0.005805575455615483
283,대한항공 인력개발센터,증미,0.005340904330740576
284,도림천 신화교,봉천,0.008777364871645349
285,이대역 4번 출구,이대,0.00039643364501993077
286,브라운스톤 남산아파트,서울,0.005301835645317004
287,선린인터넷 고등학교,남영,0.001015560270193548
288,이태원역 3번 출구,이태원,0.00037533645384886803
289,봉천역 2번출구,봉천,0.00029493686172589223
290,백련산 SK뷰 아이파크 해모로 아파트 앞,응암,0.004745872114117361
291,신수동 사거리,광흥창,0.0030648209696639344
292,양평동성원아파트,선유도,0.00427713277162553
293,신사두산위브2차아파트 앞,응암,0.008015763148293026
294,북가좌1동 주민센터,가좌,0.008087858732864401
295,등촌역 4번 출구,등촌,0.0018981967810554582
296,은평역사한옥박물관,구파발,0.019752473276588533
297,서울혁신파크,불광,0.0048566761341976164
298,영등포유통상가 사거리,문래,0.003661046437344137
299,녹번 힐스테이트상가앞,녹번,0.00019097671820467256
300,신정네거리역 교차로,신정네거리,0.0017971021648560323
301,목동신시가지아파트6단지,신목동,0.007616273318726829
302,백련산 힐스테이트 3차,새절,0.010142690140135859
303,여의도 마리나선착장 앞,국회의사당,0.007965129422980248
304,충정로역 7번출구 아래,충정로,0.0012086146952588945
305,이태원지하보도,녹사평,0.0037354781884120537
306,노들역 1번출구,노들,0.0007543214686693905
307,신논현타워 앞,신논현,0.0012498978782766994
308,연신내역 1번 출구,연신내,0.0008059812963639795
309,독립문역 사거리,독립문,0.003960298774365505
310,당산롯데캐슬프레스티지,당산,0.005905234281183785
311,대한상공회의소,회현,0.004453170201291439
312,목동5단지아파트 534동,오목교,0.008946928422670789
313,마포구 육아종합지원센터,수색,0.011938260187642425
314,대원빌딩,화곡,0.005732625334521613
315,국회의사당역 5번출구 옆,국회의사당,0.0008533358530580128
316,신성기사식당 앞,대흥,0.003704790558516527
317,화곡역 버스정류장,화곡,0.001986674901478634
318,당산skv1센터,당산,0.0047921626026635996
319,NH농협은행 앞,샛강,0.005183977446993548
320,노량진역 5번출구,노량진,0.0026651092141920145
321,동원베네스트 건너편,용산,0.009706285945635289
322,양평동6차현대아파트 앞,선유도,0.005989576391737848
323,문래동 하이테크 시티,문래,0.005799632414979245
324,신사동 성당,응암,0.006154299537959057
325,등촌역 7번출구,등촌,0.0020372052145162488
326,을지로3가역 3번출구,을지로3가,0.0005914135909656386
327,청계8가사거리 부근,신설동,0.004464280589263471
328,충정2교,충정로,0.002167077783560693
329,e편한세상 신촌4단지 앞,아현,0.0007861606576264855
330,롯데캐슬엠파이어 옆,여의도,0.0018881981948254824
331,신사동 가로수길 입구,신사,0.002676907976112617
332,에스테반,애오개,0.00552071561507274
333,홍은동 정원여중 입구,홍제,0.009015729673580067
334,노들섬 동측 앞,노들,0.007383431512900548
335,벽산아파트,양천향교,0.008358102004307262
336,남영역 건너편,남영,0.0009898780872447115
337,염창동 한마음아파트 앞,등촌,0.004076076112440127
338,오목교 동측 지하보도,오목교,0.006709282175472611
339,신사역 4번출구 뒤,신사,0.0009296688961054213
340,뚝섬유원지역 1번출구 앞,뚝섬유원지,0.0005838370770053754
341,신수동주민센터,광흥창,0.003042423433865036
342,쌍용예가(구청별관),영등포구청,0.004045508388764986
343,CBS방송국 앞,오목교,0.003397282204413859
344,여의도초교 앞,여의나루,0.006593039105264267
345,봉원고가차도 밑,이대,0.008539575993620855
346,서빙고동 주민센터 앞,서빙고,0.005773597415173032
347,서울지방고용노동청 앞,을지로3가,0.004849546612849482
348,구산역 2번 출구,구산,0.0016451759791902341
349,근로자회관 사거리,문래,0.0061835621533630645
350,북가좌 초등학교,증산,0.006203201541697035
351,DMC래미안e편한세상203동옆,증산,0.007795442255896267
352,삼성생명 당산사옥 앞,영등포구청,0.003362221384457513
353,목동트라팰리스 웨스턴에비뉴,오목교,0.004344244907067434
354,KT플라자 영등포점,영등포시장,0.0036413438790656796
355,창신역 1번출구 앞,창신,0.0003628061708402939
356,오목교역 3번출구,오목교,0.00041046059687934946
357,역삼빌딩 앞(하나은행 옆),역삼,0.002303577448770336
358,양천문화회관,양천구청,0.005302964341607744
359,염창역 1번 출구,염창,0.0005017971726515635
360,조원동서울본병원,신대방,0.006036793356377897
361,문배어린이공원 앞,삼각지,0.003686551594149381
362,가양나들목,양천향교,0.00588663902157869
363,정금마을 마을버스정류장,구반포,0.008291510465526364
364,현대자동차서비스 앞,마포,0.009872292433143817
365,논현역 7번출구,논현,0.000282463771302254
366,은평평화공원(역촌역4번출구),역촌,0.0004778596510556793
367,월드메르디앙 벤처센터 2차,가산디지털단지,0.003852031230404559
368,영등포구민체육센터 앞,신풍,0.004102185595066721
369,LIG강촌아파트 103동앞,이촌,0.005830022706480586
370,북가좌삼거리2,디지털미디어시티,0.005967155932256845
371,오목교역 7번출구 앞,오목교,0.0008700611374471576
372,강서한강자이타워 앞,가양,0.006451092858587911
373,삼각산동 주민센터,삼양사거리,0.006479678421046083
374,신대방삼거리역 6번출구쪽,신대방삼거리,0.0012985687050163415
375,신대방역 2번 출구,신대방,0.00035790232480956347
376,신길역3번출구,신길,0.0029261664554343664
377,효창공원앞역 3번출구 뒤,효창공원앞,0.0002535737527776879
378,현대고등학교 건너편,압구정,0.007315404264140255
379,신목동역 2번 출구,신목동,0.0006889390048464162
380,대륭포스트타워1차,구로디지털단지,0.006043708244616335
381,신트리공원 입구,신정네거리,0.006883682369369233
382,당산삼성2차아파트,영등포구청,0.0037739844910223354
383,역촌 센트레빌 아파트,응암,0.009767297600796958
384,목동아파트2단지 222동 앞,염창,0.007248215583302691
385,삼일교(시그니쳐 타워),을지로3가,0.0038446072072576215
386,시범아파트버스정류장 옆,노량진,0.007126353904653045
387,국회의원회관,국회의사당,0.0039686791646968735
388,이촌2동 동원베네스트 아파트 앞,용산,0.009778969334743483
389,석촌호수 서호 사거리,잠실,0.00931744064637554
390,안산초등학교 앞,무악재,0.003145285706841266
391,한강GS에클라트 건너편 교통섬,용산,0.009256850309693537
392,풍전아파트 건너편,마포,0.009762077183294757
393,서초역1번출구 앞,서초,0.0006378889245744079
394,롯데시티호텔,을지로3가,0.004213818622408196
395,구로리공원,대림,0.004132847775145326
396,서울역 센트럴 자이아파트,충정로,0.006116930087785338
397,역촌종합시장 버스정류장(예일여고 방면),구산,0.0026349125090553626
398,삼호아파트 앞,개봉,0.002330934335322446
399,용산 선인상가,용산,0.0028564224296142933
400,영등포전화국사거리 (서강어린이공원),영등포시장,0.0031567857954611766
401,강서구립등빛도서관,양천향교,0.005920707562077522
402,아현역 4번출구 앞,아현,0.0004966175511374153
403,대호프라자아파트,독바위,0.004051820312024169
404,영문초등학교 사거리,문래,0.005923079790144939
405,불광역 9번 출구 맞은편,불광,0.0012532808394266316
406,영등포청과시장 사거리,영등포시장,0.004606614790269375
407,북아현동 가구거리,아현,0.003246485546015467
408,신도림역 1번 출구 앞,신도림,0.0015559882655420568
409,정곡나들목,방화,0.009413935488427123
410,마곡 엠밸리2단지,신방화,0.0032848412961499125
411,AW컨벤션앞,무악재,0.019687710955582603
412,명동역9번 출구,명동,0.0011941327531519849
413,황금내근린공원,증미,0.0050407507784460005
414,반포본동 주민센터 앞,구반포,0.0013910880342163558
415,멤피스아파트 앞,구반포,0.007439433900572537
416,독립문역사거리,독립문,0.003097918136125644
417,구로디지털단지역 앞,구로디지털단지,0.00033598538122124404
418,영동1교 (양재천근린공원),양재시민의숲,0.004391683720900878
419,중앙유통단지 앞,구일,0.004662505151367166
