산업,산업2,광고제목,광고부제목,날짜,링크
정보통신,이동통신,LG유플러스,"[디플유플] 디즈니+ 그리드도, 유플러스에서! 댄스",2022.02.17,https://play.tvcf.co.kr/860482
정보통신,이동통신,SK텔레콤 Atozem,새학기 학부모 지침서_바른습관만들기,2022.02.17,https://play.tvcf.co.kr/860630
정보통신,이동통신,SK텔레콤 Atozem,새학기 학부모 지침서_안전한 스마트폰 사용,2022.02.17,https://play.tvcf.co.kr/860622
정보통신,이동통신,SK텔레콤 Atozem,새학기 학부모 지침서_아이위치확인,2022.02.17,https://play.tvcf.co.kr/860620
정보통신,이동통신,KT 5G,갤럭시 S22는 KT로 초이스,2022.02.16,https://play.tvcf.co.kr/860449
정보통신,이동통신,SK텔레콤 갤럭시 S22,우주만큼 사랑해,2022.02.14,https://play.tvcf.co.kr/860219
정보통신,이동통신,LG유플러스,"갤럭시 S22, 유플러스에서 골라 즐기는 22가지 혜택 #사진여행러버",2022.02.11,https://play.tvcf.co.kr/860077
정보통신,이동통신,LG유플러스,"갤럭시 S22, 유플러스에서 골라 즐기는 22가지 혜택 #헬시플레저",2022.02.11,https://play.tvcf.co.kr/860076
정보통신,이동통신,LG유플러스,"갤럭시 S22, 유플러스에서 골라 즐기는 22가지 혜택 #스트리밍라이프",2022.02.11,https://play.tvcf.co.kr/860075
정보통신,이동통신,PlayZ,캠핑,2022.01.21,https://play.tvcf.co.kr/858032
정보통신,이동통신,PlayZ,독립,2022.01.21,https://play.tvcf.co.kr/858031
정보통신,이동통신,PlayZ,내방,2022.01.21,https://play.tvcf.co.kr/858022
정보통신,이동통신,KT 스마트메시지,가게정보,2022.01.05,https://play.tvcf.co.kr/855851
정보통신,이동통신,KT 스마트메시지,위치문자,2022.01.05,https://play.tvcf.co.kr/855858
정보통신,이동통신,KT 스마트메시지,양방향,2022.01.05,https://play.tvcf.co.kr/855852
정보통신,이동통신,LG유플러스 우리가게패키지,[ U+우리가게패키지 ] 우리가게 든든하게!_세친구,2021.12.20,https://play.tvcf.co.kr/852894
정보통신,이동통신,LG유플러스 우리가게패키지,[ U+우리가게패키지 ] 우리가게 든든하게!_쏘카,2021.12.20,https://play.tvcf.co.kr/852888
